pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
5,0.1,roulette,uniform,1.0,0.01,93.2,8.376485972135292,14/30,0.5839
10,0.2,rank,uniform,0.8,0.01,92.56666666666666,8.467720995083312,14/30,0.5814
5,0.1,rank,uniform,0.8,0.01,92.33333333333333,7.179152448935561,10/30,0.5823
20,0.2,rank,uniform,1.0,0.01,92.33333333333333,6.8648697570754535,7/30,0.578
10,0.2,rank,uniform,1.0,0.01,92.2,6.121753185890911,4/30,0.582
5,0.1,rank,uniform,1.0,0.01,91.73333333333333,6.480385968354861,4/30,0.5891
5,0.1,rank,one_point,1.0,0.01,91.06666666666666,7.820985621515617,4/30,0.5691
5,0.1,roulette,uniform,0.8,0.01,90.86666666666666,6.836682666692779,4/30,0.5761
10,0.2,rank,one_point,1.0,0.01,90.86666666666666,7.440491888324983,5/30,0.566
5,0.1,roulette,two_point,1.0,0.01,90.56666666666666,8.050201682345405,4/30,0.547
10,0.2,roulette,uniform,1.0,0.01,90.46666666666667,8.232539865902755,8/30,0.5746
10,0.2,rank,two_point,0.8,0.01,90.03333333333333,8.556035713251596,8/30,0.5666
5,0.1,rank,one_point,0.8,0.01,89.96666666666667,7.649581161999851,4/30,0.5483
10,0.2,roulette,uniform,0.8,0.01,89.9,7.7341606771071385,5/30,0.5719
5,0.1,rank,two_point,1.0,0.01,89.83333333333333,6.170471022837573,3/30,0.5631
20,0.2,roulette,uniform,1.0,0.01,89.73333333333333,8.784521392310113,7/30,0.5611
5,0.1,rank,two_point,0.8,0.01,89.53333333333333,7.342522977707385,2/30,0.5639
20,0.2,rank,uniform,0.8,0.01,89.23333333333333,8.680868116978152,5/30,0.5684
5,0.1,roulette,one_point,0.8,0.01,89.16666666666667,8.395743311174208,6/30,0.5423
10,0.2,rank,one_point,0.8,0.01,88.86666666666666,8.49232242851654,6/30,0.5559
5,0.1,roulette,one_point,1.0,0.01,88.8,8.93424253393495,6/30,0.5502
10,0.2,rank,two_point,1.0,0.01,88.5,7.248067518906035,0/30,0.556
20,0.2,roulette,uniform,0.8,0.01,88.26666666666667,10.023879534368927,6/30,0.5466
5,0.1,roulette,two_point,0.8,0.01,87.93333333333334,7.939136291654859,2/30,0.5374
20,0.2,rank,two_point,0.8,0.01,87.83333333333333,8.208840202566035,2/30,0.5403
20,0.2,rank,one_point,1.0,0.01,87.26666666666667,9.688006568142272,3/30,0.5357
10,0.2,roulette,one_point,0.8,0.01,86.96666666666667,9.444879413017235,6/30,0.5195
10,0.2,roulette,one_point,1.0,0.01,86.26666666666667,8.827595186777042,4/30,0.5211
10,0.2,roulette,two_point,0.8,0.01,86.23333333333333,7.6909410810799805,1/30,0.5244
20,0.2,rank,one_point,0.8,0.01,86.13333333333334,9.744081610741036,3/30,0.5346
20,0.2,rank,two_point,1.0,0.01,85.66666666666667,9.263697531440833,4/30,0.5249
10,0.1,rank,uniform,1.0,0.01,85.46666666666667,7.3799978195181035,2/30,0.5706
10,0.1,roulette,uniform,1.0,0.01,85.1,8.567581238357887,3/30,0.5352
50,0.2,rank,uniform,0.8,0.01,85.03333333333333,8.67212471810898,1/30,0.5218
10,0.1,rank,uniform,0.8,0.01,84.96666666666667,7.739211994696268,2/30,0.5499
10,0.2,roulette,two_point,1.0,0.01,84.83333333333333,8.886577764686251,2/30,0.5133
20,0.1,rank,uniform,0.8,0.01,83.86666666666666,6.339440491646438,0/30,0.5442
10,0.1,rank,one_point,0.8,0.01,83.7,9.192013024809954,0/30,0.5188
20,0.1,rank,uniform,1.0,0.01,83.63333333333334,7.989144934322395,0/30,0.549
10,0.1,rank,one_point,1.0,0.01,83.33333333333333,9.404083241294465,0/30,0.5348
10,0.1,rank,two_point,1.0,0.01,83.3,7.4932153220142395,1/30,0.5319
50,0.2,rank,uniform,1.0,0.01,82.76666666666667,7.314055120030924,1/30,0.5271
10,0.1,rank,two_point,0.8,0.01,82.36666666666666,8.69594964508679,2/30,0.5261
20,0.2,roulette,two_point,1.0,0.01,82.36666666666666,7.91107182822052,1/30,0.4956
