parameter,value,onemax_10D,onemax_30D,onemax_100D,leading_ones_10D,leading_ones_30D,leading_ones_100D
pop_size,5,0.965,0.975,0.978,0.802,0.713,0.514
pop_size,10,0.975,0.973,0.969,0.846,0.708,0.493
pop_size,20,0.981,0.972,0.966,0.897,0.721,0.47
pop_size,50,0.975,0.961,0.952,0.918,0.667,0.387
pop_size,100,0.967,0.939,0.93,0.911,0.613,0.313
elite_ratio,0.1,0.972,0.961,0.954,0.875,0.682,0.427
elite_ratio,0.2,0.973,0.967,0.964,0.874,0.687,0.444
selection,roulette,0.97,0.956,0.945,0.874,0.677,0.415
selection,rank,0.975,0.972,0.973,0.875,0.692,0.455
crossover,one_point,0.971,0.96,0.954,0.867,0.648,0.409
crossover,two_point,0.972,0.963,0.957,0.873,0.672,0.415
crossover,uniform,0.975,0.968,0.966,0.883,0.732,0.482
crossover_rate,0.8,0.972,0.963,0.958,0.872,0.678,0.432
crossover_rate,1.0,0.973,0.965,0.96,0.878,0.69,0.439
mutation_rate,0.005,0.965,0.961,0.959,0.809,0.574,0.371
mutation_rate,0.01,0.974,0.966,0.959,0.876,0.693,0.467
mutation_rate,1/D,0.979,0.965,0.959,0.938,0.785,0.467
