pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
50,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.918
100,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9178
100,0.2,roulette,one_point,1.0,0.0075,10.0,0.0,30/30,0.9176
50,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9143
100,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9116
100,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.9108
100,0.2,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9106
100,0.2,roulette,one_point,0.8,0.005,10.0,0.0,30/30,0.9095
100,0.2,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9094
100,0.1,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.9091
100,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9089
100,0.2,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.907
50,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.9049
100,0.1,roulette,one_point,1.0,0.005,10.0,0.0,30/30,0.9044
100,0.1,roulette,one_point,1.0,0.0075,10.0,0.0,30/30,0.9042
100,0.2,roulette,one_point,0.8,0.0075,10.0,0.0,30/30,0.9041
100,0.1,rank,one_point,1.0,0.005,10.0,0.0,30/30,0.9033
50,0.2,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.9033
50,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.9027
50,0.2,rank,one_point,0.8,0.0075,10.0,0.0,30/30,0.9003
100,0.1,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.8997
100,0.1,roulette,one_point,0.8,0.005,10.0,0.0,30/30,0.8997
100,0.1,roulette,one_point,0.6,0.0075,10.0,0.0,30/30,0.8978
50,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.8977
100,0.1,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.8961
50,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.8958
100,0.1,roulette,one_point,0.6,0.005,10.0,0.0,30/30,0.8945
50,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.894
20,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.8883
100,0.1,rank,one_point,0.8,0.005,10.0,0.0,30/30,0.8875
20,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.8849
20,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.884
20,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.8797
20,0.2,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.8782
20,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.8758
50,0.2,rank,one_point,0.6,0.0075,10.0,0.0,30/30,0.8696
50,0.2,rank,one_point,0.6,0.005,10.0,0.0,30/30,0.8636
20,0.1,rank,one_point,1.0,0.0075,10.0,0.0,30/30,0.855
5,0.1,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.8515
5,0.1,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.8428
5,0.1,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.8378
10,0.2,rank,one_point,1.0,0.01,10.0,0.0,30/30,0.8358
5,0.1,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.8328
5,0.1,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.8328
10,0.2,rank,one_point,0.6,0.01,10.0,0.0,30/30,0.8302
10,0.2,rank,one_point,0.8,0.01,10.0,0.0,30/30,0.8262
5,0.1,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.8255
10,0.2,roulette,one_point,1.0,0.01,10.0,0.0,30/30,0.8253
10,0.2,roulette,one_point,0.6,0.01,10.0,0.0,30/30,0.8056
10,0.2,roulette,one_point,0.8,0.01,10.0,0.0,30/30,0.8023
100,0.2,roulette,one_point,1.0,0.005,9.966666666666667,0.18257418583505533,29/30,0.9183
