pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
5,0.1,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.985
5,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.985
5,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9847
5,0.1,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9846
5,0.1,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9835
10,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9832
5,0.1,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9831
10,0.2,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.9828
10,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9827
5,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9826
10,0.2,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.982
5,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9819
10,0.2,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9817
10,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9812
5,0.1,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9811
10,0.1,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.981
10,0.2,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9809
10,0.2,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9802
10,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9802
10,0.2,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9794
10,0.1,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9793
10,0.1,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.979
10,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9788
10,0.2,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9785
20,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9783
20,0.2,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.9781
10,0.1,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9781
10,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.978
20,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9773
20,0.2,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9765
10,0.1,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9763
20,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9761
20,0.1,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.976
20,0.2,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9756
20,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9754
20,0.2,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9753
20,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.975
20,0.1,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9749
20,0.2,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9748
20,0.2,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9747
20,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.973
20,0.1,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.973
20,0.1,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9728
5,0.1,roulette,one_point,1.0,0.0075,100.0,0.0,30/30,0.9723
5,0.1,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9719
20,0.2,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9717
5,0.1,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9712
5,0.1,roulette,one_point,0.6,0.0075,100.0,0.0,30/30,0.9707
5,0.1,roulette,one_point,1.0,0.01,100.0,0.0,30/30,0.9707
5,0.1,roulette,one_point,0.8,0.0075,100.0,0.0,30/30,0.9703
20,0.1,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9702
5,0.1,roulette,one_point,0.6,0.01,100.0,0.0,30/30,0.9699
5,0.1,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.9697
5,0.1,roulette,one_point,0.6,0.005,100.0,0.0,30/30,0.9693
10,0.2,roulette,one_point,1.0,0.0075,100.0,0.0,30/30,0.9681
10,0.2,roulette,one_point,0.8,0.0075,100.0,0.0,30/30,0.968
10,0.2,roulette,one_point,0.6,0.01,100.0,0.0,30/30,0.9677
10,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9671
10,0.2,roulette,one_point,0.6,0.0075,100.0,0.0,30/30,0.9661
10,0.2,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.9661
10,0.2,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9657
50,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9652
50,0.2,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.9645
10,0.2,roulette,one_point,0.6,0.005,100.0,0.0,30/30,0.9639
50,0.2,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9629
50,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9628
50,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9624
50,0.1,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.962
50,0.2,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9619
20,0.2,roulette,one_point,1.0,0.01,100.0,0.0,30/30,0.9614
50,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9614
20,0.2,roulette,one_point,1.0,0.0075,100.0,0.0,30/30,0.9604
50,0.2,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.96
20,0.2,roulette,one_point,0.8,0.0075,100.0,0.0,30/30,0.9599
50,0.1,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9592
50,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9592
50,0.2,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9588
50,0.2,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9588
20,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9581
20,0.2,roulette,one_point,0.6,0.01,100.0,0.0,30/30,0.9572
20,0.2,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9572
50,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9571
50,0.2,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9561
50,0.1,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9557
50,0.1,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9553
20,0.2,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.9552
20,0.2,roulette,one_point,0.6,0.0075,100.0,0.0,30/30,0.9547
50,0.1,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9527
20,0.2,roulette,one_point,0.6,0.005,100.0,0.0,30/30,0.9522
100,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9475
100,0.2,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.946
100,0.2,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9452
100,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9425
100,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.942
100,0.2,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9419
100,0.1,rank,one_point,1.0,0.0075,100.0,0.0,30/30,0.9404
50,0.2,roulette,one_point,1.0,0.0075,100.0,0.0,30/30,0.9404
100,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9388
100,0.2,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9386
100,0.1,rank,one_point,0.8,0.0075,100.0,0.0,30/30,0.9369
100,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9366
100,0.2,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9366
100,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9366
50,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9363
100,0.2,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9362
100,0.2,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.936
50,0.2,roulette,one_point,0.8,0.0075,100.0,0.0,30/30,0.9358
50,0.2,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.934
100,0.1,rank,one_point,0.6,0.01,100.0,0.0,30/30,0.9322
100,0.1,rank,one_point,0.6,0.0075,100.0,0.0,30/30,0.9315
50,0.2,roulette,one_point,0.6,0.005,100.0,0.0,30/30,0.9299
100,0.1,rank,one_point,0.6,0.005,100.0,0.0,30/30,0.9296
100,0.2,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9117
100,0.2,roulette,one_point,1.0,0.0075,100.0,0.0,30/30,0.9109
100,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9054
10,0.2,roulette,one_point,1.0,0.01,99.96666666666667,0.18257418583505536,29/30,0.9673
10,0.1,roulette,one_point,1.0,0.005,99.96666666666667,0.18257418583505536,29/30,0.9477
10,0.1,roulette,one_point,0.8,0.005,99.96666666666667,0.18257418583505536,29/30,0.9458
50,0.2,roulette,one_point,1.0,0.005,99.96666666666667,0.18257418583505536,29/30,0.9395
50,0.2,roulette,one_point,0.6,0.01,99.96666666666667,0.18257418583505536,29/30,0.931
100,0.2,roulette,one_point,0.8,0.005,99.96666666666667,0.18257418583505536,29/30,0.9054
100,0.2,roulette,one_point,0.8,0.0075,99.96666666666667,0.18257418583505536,29/30,0.9026
100,0.2,roulette,one_point,0.6,0.005,99.96666666666667,0.18257418583505536,29/30,0.8919
10,0.1,roulette,one_point,0.6,0.005,99.93333333333334,0.2537081317024625,28/30,0.944
20,0.1,roulette,one_point,0.6,0.005,99.93333333333334,0.2537081317024625,28/30,0.9408
50,0.2,roulette,one_point,1.0,0.01,99.93333333333334,0.2537081317024624,28/30,0.9389
50,0.2,roulette,one_point,0.6,0.0075,99.93333333333334,0.2537081317024625,28/30,0.9305
50,0.1,roulette,one_point,1.0,0.0075,99.93333333333334,0.2537081317024625,28/30,0.9187
50,0.1,roulette,one_point,0.8,0.005,99.93333333333334,0.2537081317024625,28/30,0.9164
100,0.2,roulette,one_point,1.0,0.01,99.93333333333334,0.2537081317024625,28/30,0.9097
10,0.1,roulette,one_point,0.6,0.0075,99.9,0.30512857662936466,27/30,0.9482
10,0.1,roulette,one_point,0.8,0.0075,99.9,0.3051285766293647,27/30,0.9479
10,0.1,roulette,one_point,1.0,0.0075,99.9,0.3051285766293647,27/30,0.9473
20,0.1,roulette,one_point,0.6,0.0075,99.9,0.30512857662936466,27/30,0.9381
100,0.2,roulette,one_point,0.6,0.01,99.9,0.30512857662936466,27/30,0.8929
20,0.1,roulette,one_point,0.8,0.0075,99.86666666666666,0.34574590364176044,26/30,0.9399
20,0.1,roulette,one_point,1.0,0.005,99.86666666666666,0.34574590364176044,26/30,0.9391
50,0.1,roulette,one_point,1.0,0.005,99.86666666666666,0.34574590364176044,26/30,0.9159
20,0.1,roulette,one_point,0.8,0.005,99.83333333333333,0.3790490217894517,25/30,0.9389
100,0.2,roulette,one_point,0.6,0.0075,99.83333333333333,0.3790490217894517,25/30,0.8961
10,0.1,roulette,one_point,0.6,0.01,99.8,0.48423419811150226,25/30,0.9454
20,0.1,roulette,one_point,1.0,0.0075,99.8,0.40683810217248617,24/30,0.9397
20,0.1,roulette,one_point,0.6,0.01,99.76666666666667,0.5040069329937309,24/30,0.9378
50,0.1,roulette,one_point,0.6,0.005,99.76666666666667,0.4301830671520764,23/30,0.907
50,0.1,roulette,one_point,0.8,0.0075,99.73333333333333,0.5208304597621879,23/30,0.9162
10,0.1,roulette,one_point,0.8,0.01,99.7,0.5959634332684375,23/30,0.9423
20,0.1,roulette,one_point,0.8,0.01,99.7,0.534983080621924,22/30,0.9379
20,0.1,roulette,one_point,1.0,0.01,99.7,0.5959634332684375,23/30,0.9373
10,0.1,roulette,one_point,1.0,0.01,99.6,0.5632418479750458,19/30,0.9407
50,0.1,roulette,one_point,0.6,0.0075,99.6,0.5632418479750458,19/30,0.9081
50,0.1,roulette,one_point,0.8,0.01,99.56666666666666,0.5683207771559353,18/30,0.9127
50,0.1,roulette,one_point,0.6,0.01,99.5,0.7310832774866962,19/30,0.9116
50,0.1,roulette,one_point,1.0,0.01,99.46666666666667,0.6288102248298566,16/30,0.9123
100,0.1,roulette,one_point,0.8,0.005,99.26666666666667,0.7396799556440671,13/30,0.8832
100,0.1,roulette,one_point,1.0,0.005,99.23333333333333,0.6789105539243627,11/30,0.8846
100,0.1,roulette,one_point,1.0,0.0075,99.06666666666666,0.9444331755018488,12/30,0.8838
100,0.1,roulette,one_point,0.8,0.0075,98.66666666666667,1.0283342182227606,6/30,0.8801
100,0.1,roulette,one_point,0.6,0.005,98.63333333333334,0.9643054793328019,3/30,0.8691
100,0.1,roulette,one_point,1.0,0.01,98.56666666666666,1.0400044208570938,5/30,0.8834
100,0.1,roulette,one_point,0.6,0.01,98.26666666666667,0.9802650357071221,4/30,0.8708
100,0.1,roulette,one_point,0.6,0.0075,98.2,1.0635010497214474,2/30,0.8703
100,0.1,roulette,one_point,0.8,0.01,98.06666666666666,0.9802650357071221,2/30,0.8759
