parameter,value,onemax_10D,onemax_30D,onemax_100D,leading_ones_10D,leading_ones_30D,leading_ones_100D
pop_size,5,0.956,0.97,0.977,0.752,0.611,0.49
pop_size,10,0.968,0.966,0.968,0.762,0.62,0.465
pop_size,20,0.977,0.966,0.962,0.841,0.626,0.437
pop_size,50,0.973,0.955,0.942,0.888,0.564,0.334
pop_size,100,0.966,0.932,0.915,0.899,0.521,0.259
elite_ratio,0.1,0.967,0.955,0.948,0.828,0.586,0.388
elite_ratio,0.2,0.968,0.961,0.958,0.829,0.591,0.406
selection,roulette,0.965,0.949,0.938,0.827,0.576,0.375
selection,rank,0.97,0.967,0.967,0.83,0.601,0.419
crossover_rate,0.6,0.966,0.954,0.95,0.819,0.579,0.396
crossover_rate,0.8,0.968,0.958,0.953,0.828,0.588,0.396
crossover_rate,1.0,0.97,0.961,0.955,0.839,0.598,0.399
mutation_rate,0.005,0.962,0.954,0.952,0.79,0.516,0.343
mutation_rate,0.0075,0.969,0.958,0.953,0.83,0.599,0.407
mutation_rate,0.01,0.972,0.961,0.953,0.865,0.651,0.441
