pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
5,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.885
5,0.1,roulette,uniform,0.8,1/D,30.0,0.0,30/30,0.8809
5,0.1,roulette,uniform,1.0,1/D,30.0,0.0,30/30,0.8803
5,0.1,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.8784
10,0.2,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.8746
10,0.2,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.8737
10,0.2,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.8691
10,0.2,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.869
20,0.2,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.8672
10,0.2,roulette,uniform,1.0,1/D,30.0,0.0,30/30,0.8666
5,0.1,roulette,one_point,1.0,1/D,30.0,0.0,30/30,0.8624
20,0.2,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.8619
10,0.1,roulette,uniform,1.0,1/D,30.0,0.0,30/30,0.8616
10,0.2,roulette,uniform,0.8,1/D,30.0,0.0,30/30,0.8598
5,0.1,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.8588
5,0.1,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.8586
5,0.1,roulette,one_point,0.8,1/D,30.0,0.0,30/30,0.8569
10,0.2,roulette,two_point,0.8,1/D,30.0,0.0,30/30,0.8553
20,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.8545
20,0.1,roulette,uniform,1.0,1/D,30.0,0.0,30/30,0.8544
10,0.1,roulette,uniform,0.8,1/D,30.0,0.0,30/30,0.8529
20,0.2,roulette,uniform,1.0,1/D,30.0,0.0,30/30,0.8513
5,0.1,roulette,two_point,0.8,1/D,30.0,0.0,30/30,0.8508
10,0.2,roulette,two_point,1.0,1/D,30.0,0.0,30/30,0.8498
10,0.1,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.8496
5,0.1,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.8494
5,0.1,roulette,two_point,1.0,1/D,30.0,0.0,30/30,0.8488
20,0.2,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.8487
20,0.1,roulette,uniform,0.8,1/D,30.0,0.0,30/30,0.8464
10,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.8464
10,0.2,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.8457
20,0.2,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.8446
20,0.2,roulette,uniform,0.8,1/D,30.0,0.0,30/30,0.8442
20,0.1,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.8437
10,0.1,roulette,one_point,1.0,1/D,30.0,0.0,30/30,0.8433
10,0.2,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.8417
5,0.1,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.8375
20,0.2,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.8361
10,0.2,roulette,one_point,0.8,1/D,30.0,0.0,30/30,0.8342
10,0.1,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.8335
10,0.1,rank,two_point,1.0,1/D,30.0,0.0,30/30,0.8292
10,0.2,roulette,one_point,1.0,1/D,30.0,0.0,30/30,0.829
10,0.1,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.828
20,0.2,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.827
20,0.2,roulette,one_point,0.8,1/D,30.0,0.0,30/30,0.8249
10,0.1,roulette,two_point,1.0,1/D,30.0,0.0,30/30,0.8239
10,0.1,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.8209
20,0.1,rank,two_point,0.8,1/D,30.0,0.0,30/30,0.8197
20,0.1,rank,one_point,1.0,1/D,30.0,0.0,30/30,0.8124
10,0.1,roulette,two_point,0.8,1/D,30.0,0.0,30/30,0.8101
20,0.2,roulette,two_point,0.8,1/D,30.0,0.0,30/30,0.8087
20,0.1,rank,one_point,0.8,1/D,30.0,0.0,30/30,0.808
20,0.1,roulette,two_point,1.0,1/D,30.0,0.0,30/30,0.8064
20,0.1,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.8054
50,0.2,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.802
20,0.1,roulette,two_point,0.8,1/D,30.0,0.0,30/30,0.799
20,0.1,roulette,one_point,0.8,1/D,30.0,0.0,30/30,0.7986
50,0.2,rank,uniform,0.8,1/D,30.0,0.0,30/30,0.7977
50,0.2,roulette,uniform,1.0,1/D,30.0,0.0,30/30,0.7965
20,0.2,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.7859
50,0.1,rank,uniform,1.0,1/D,30.0,0.0,30/30,0.7809
20,0.1,rank,uniform,0.8,0.01,30.0,0.0,30/30,0.7765
50,0.2,roulette,uniform,0.8,1/D,30.0,0.0,30/30,0.7739
20,0.2,roulette,uniform,1.0,0.01,30.0,0.0,30/30,0.772
20,0.2,rank,uniform,0.8,0.01,30.0,0.0,30/30,0.7703
5,0.1,rank,uniform,1.0,0.01,30.0,0.0,30/30,0.7676
5,0.1,roulette,uniform,0.8,0.01,30.0,0.0,30/30,0.7616
5,0.1,roulette,uniform,1.0,0.01,30.0,0.0,30/30,0.7601
20,0.2,rank,two_point,1.0,0.01,30.0,0.0,30/30,0.7582
10,0.2,roulette,uniform,0.8,0.01,30.0,0.0,30/30,0.7522
10,0.2,rank,two_point,0.8,0.01,30.0,0.0,30/30,0.752
20,0.2,rank,two_point,0.8,0.01,30.0,0.0,30/30,0.7494
5,0.1,rank,two_point,1.0,0.01,30.0,0.0,30/30,0.7391
20,0.2,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.737
20,0.2,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.7364
10,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.7183
10,0.1,rank,one_point,1.0,0.01,30.0,0.0,30/30,0.7099
10,0.1,rank,two_point,0.8,0.01,30.0,0.0,30/30,0.7075
20,0.1,rank,one_point,0.8,0.01,30.0,0.0,30/30,0.7056
20,0.2,roulette,one_point,1.0,1/D,29.966666666666665,0.18257418583505533,29/30,0.8157
50,0.1,roulette,uniform,1.0,1/D,29.966666666666665,0.18257418583505533,29/30,0.7837
10,0.2,rank,uniform,0.8,0.01,29.966666666666665,0.18257418583505533,29/30,0.7684
10,0.1,rank,uniform,1.0,0.01,29.966666666666665,0.18257418583505536,29/30,0.7664
20,0.2,roulette,uniform,0.8,0.01,29.966666666666665,0.18257418583505533,29/30,0.7609
50,0.1,rank,uniform,0.8,1/D,29.966666666666665,0.18257418583505536,29/30,0.7593
50,0.2,rank,two_point,0.8,1/D,29.966666666666665,0.18257418583505533,29/30,0.7557
10,0.1,rank,uniform,0.8,0.01,29.966666666666665,0.18257418583505536,29/30,0.7552
5,0.1,rank,two_point,0.8,0.01,29.966666666666665,0.18257418583505533,29/30,0.7473
5,0.1,roulette,two_point,1.0,0.01,29.966666666666665,0.18257418583505533,29/30,0.7427
10,0.2,roulette,two_point,1.0,0.01,29.966666666666665,0.18257418583505533,29/30,0.7164
5,0.1,roulette,two_point,0.8,0.01,29.966666666666665,0.18257418583505533,29/30,0.7139
20,0.1,rank,two_point,1.0,1/D,29.933333333333334,0.36514837167011066,29/30,0.8252
10,0.1,roulette,one_point,0.8,1/D,29.933333333333334,0.36514837167011066,29/30,0.8155
20,0.1,roulette,uniform,0.8,0.01,29.933333333333334,0.2537081317024624,28/30,0.7726
50,0.2,rank,two_point,1.0,1/D,29.933333333333334,0.36514837167011066,29/30,0.7428
10,0.2,roulette,two_point,0.8,0.01,29.933333333333334,0.36514837167011066,29/30,0.7262
20,0.1,rank,one_point,1.0,0.01,29.933333333333334,0.36514837167011066,29/30,0.723
20,0.2,roulette,two_point,1.0,1/D,29.866666666666667,0.7302967433402214,29/30,0.8067
50,0.1,rank,uniform,1.0,0.01,29.866666666666667,0.7302967433402214,29/30,0.784
50,0.2,rank,uniform,0.8,0.01,29.866666666666667,0.5074162634049248,28/30,0.7635
10,0.2,rank,uniform,1.0,0.01,29.866666666666667,0.5713464637233656,28/30,0.7586
20,0.1,rank,two_point,0.8,0.01,29.866666666666667,0.5713464637233656,28/30,0.7285
10,0.1,rank,two_point,1.0,0.01,29.866666666666667,0.7302967433402213,29/30,0.7063
50,0.1,roulette,uniform,0.8,1/D,29.833333333333332,0.6477192523656045,28/30,0.7556
50,0.2,rank,one_point,1.0,1/D,29.833333333333332,0.7466399831028446,28/30,0.7302
10,0.2,rank,one_point,1.0,0.01,29.833333333333332,0.9128709291752769,29/30,0.7278
5,0.1,rank,uniform,0.8,0.01,29.8,0.8051557998728975,28/30,0.7525
10,0.2,rank,one_point,0.8,0.01,29.8,0.8051557998728975,28/30,0.7416
50,0.1,rank,two_point,1.0,1/D,29.8,0.6102571532587293,27/30,0.7311
10,0.2,rank,two_point,1.0,0.01,29.766666666666666,1.104327953954375,28/30,0.7469
20,0.1,roulette,uniform,1.0,0.01,29.766666666666666,1.1043279539543753,28/30,0.7455
50,0.1,rank,one_point,1.0,1/D,29.766666666666666,0.6789105539243627,26/30,0.7344
50,0.2,roulette,two_point,1.0,1/D,29.766666666666666,0.6789105539243627,26/30,0.7268
50,0.1,roulette,two_point,1.0,1/D,29.766666666666666,0.9714309861845773,28/30,0.7188
5,0.1,rank,one_point,1.0,0.01,29.733333333333334,1.0482607379429243,28/30,0.7194
20,0.1,roulette,one_point,1.0,1/D,29.7,1.6431676725154984,29/30,0.8055
50,0.2,rank,uniform,1.0,0.01,29.7,1.149212624004981,28/30,0.7634
10,0.1,roulette,uniform,1.0,0.01,29.7,1.2077336998093469,28/30,0.753
50,0.2,rank,one_point,0.8,1/D,29.7,0.8366600265340756,25/30,0.7214
50,0.1,roulette,two_point,0.8,1/D,29.666666666666668,0.7580980435789034,24/30,0.7205
100,0.2,rank,uniform,1.0,0.01,29.666666666666668,0.9589266029707684,26/30,0.7195
5,0.1,rank,one_point,0.8,0.01,29.666666666666668,1.3729739514150907,28/30,0.7169
100,0.1,rank,uniform,1.0,0.01,29.666666666666668,1.0283342182227606,26/30,0.7032
5,0.1,roulette,one_point,1.0,0.01,29.666666666666668,0.9589266029707684,26/30,0.7003
10,0.1,roulette,one_point,0.8,0.01,29.666666666666668,0.9589266029707684,26/30,0.6713
50,0.2,roulette,uniform,1.0,0.01,29.633333333333333,1.1885468767200222,27/30,0.7544
50,0.1,roulette,one_point,0.8,1/D,29.633333333333333,0.8899179866642238,24/30,0.7085
20,0.1,roulette,two_point,0.8,0.01,29.633333333333333,1.1591713250937243,26/30,0.6799
50,0.1,roulette,uniform,1.0,0.01,29.6,1.3287276776598393,27/30,0.7569
50,0.1,rank,two_point,0.8,1/D,29.6,1.1626367179523593,25/30,0.7261
50,0.2,roulette,two_point,0.8,1/D,29.6,1.0372377109252815,25/30,0.7214
50,0.1,rank,one_point,0.8,1/D,29.6,1.0372377109252815,25/30,0.7183
50,0.1,roulette,one_point,1.0,1/D,29.6,0.8944271909999161,24/30,0.7043
20,0.2,roulette,two_point,1.0,0.01,29.6,1.3287276776598393,27/30,0.7016
100,0.2,rank,uniform,1.0,1/D,29.6,0.8136762043449725,23/30,0.6953
10,0.2,roulette,uniform,1.0,0.01,29.566666666666666,1.568731825465999,27/30,0.7437
10,0.1,roulette,uniform,0.8,0.01,29.566666666666666,1.4307782626184984,27/30,0.7357
50,0.1,rank,uniform,0.8,0.01,29.533333333333335,1.1957780134587124,24/30,0.7245
20,0.2,roulette,two_point,0.8,0.01,29.533333333333335,1.1957780134587124,24/30,0.6898
5,0.1,roulette,one_point,0.8,0.01,29.5,1.4797483476638158,26/30,0.6903
20,0.2,roulette,one_point,1.0,0.01,29.5,1.3582443028435263,26/30,0.6827
100,0.2,rank,uniform,0.8,1/D,29.466666666666665,1.0742546199601597,22/30,0.6891
50,0.2,roulette,one_point,0.8,1/D,29.433333333333334,1.330888563259934,24/30,0.7097
50,0.2,roulette,one_point,1.0,1/D,29.433333333333334,1.19433528860584,23/30,0.6926
10,0.1,roulette,two_point,0.8,0.01,29.433333333333334,1.9241358711314314,26/30,0.6821
50,0.2,roulette,uniform,0.8,0.01,29.4,1.4762487408386114,24/30,0.7277
100,0.1,roulette,uniform,1.0,0.01,29.366666666666667,1.1591713250937243,21/30,0.6926
100,0.2,roulette,uniform,1.0,0.01,29.333333333333332,1.268540658512312,21/30,0.6997
10,0.2,roulette,one_point,0.8,0.01,29.333333333333332,1.5829551877538357,24/30,0.6955
20,0.2,roulette,one_point,0.8,0.01,29.333333333333332,2.170862427276524,27/30,0.6841
20,0.1,roulette,two_point,1.0,0.01,29.333333333333332,1.5161960871578068,23/30,0.6668
20,0.1,rank,two_point,1.0,0.01,29.266666666666666,1.7005746155310284,24/30,0.7063
50,0.1,roulette,uniform,0.8,0.01,29.233333333333334,1.4064710873459965,22/30,0.7211
20,0.1,rank,uniform,1.0,0.005,29.233333333333334,1.5465943304527225,23/30,0.7086
50,0.2,rank,two_point,1.0,0.01,29.233333333333334,1.9771685315872418,25/30,0.6701
100,0.1,rank,uniform,1.0,0.005,29.2,1.3995073024658258,21/30,0.7025
20,0.1,roulette,one_point,1.0,0.01,29.133333333333333,1.4558640835892127,20/30,0.6645
100,0.2,rank,uniform,1.0,0.005,29.1,2.4823514991872613,23/30,0.7017
100,0.1,rank,uniform,0.8,0.005,29.1,1.6262925893598903,21/30,0.6984
10,0.2,roulette,one_point,1.0,0.01,29.1,2.186951901777827,24/30,0.6867
10,0.1,roulette,one_point,1.0,0.01,29.1,2.643795599590444,25/30,0.6584
100,0.2,roulette,uniform,1.0,1/D,29.066666666666666,1.284746944983205,18/30,0.6871
10,0.1,roulette,two_point,1.0,0.01,29.0,2.27429413073671,23/30,0.694
100,0.2,roulette,uniform,0.8,1/D,29.0,1.6815428055498771,20/30,0.6898
50,0.1,rank,uniform,1.0,0.005,28.933333333333334,2.1803722132942687,22/30,0.7241
100,0.1,rank,uniform,1.0,1/D,28.9,1.6049492418657727,17/30,0.6772
50,0.2,rank,two_point,0.8,0.01,28.9,2.279594640311722,19/30,0.6483
100,0.1,rank,uniform,0.8,0.01,28.866666666666667,1.736689941821219,20/30,0.6867
100,0.2,rank,uniform,0.8,0.01,28.7,2.5481568727760586,21/30,0.658
50,0.1,rank,one_point,0.8,0.01,28.7,2.306662015808214,20/30,0.6362
50,0.2,rank,uniform,1.0,0.005,28.666666666666668,2.820287749238674,21/30,0.7212
20,0.1,roulette,uniform,1.0,0.005,28.666666666666668,2.951718766779945,22/30,0.6964
50,0.1,rank,two_point,1.0,0.01,28.666666666666668,2.928261027244354,21/30,0.6734
20,0.1,rank,uniform,0.8,0.005,28.6,2.660049260627615,23/30,0.6624
100,0.1,rank,two_point,1.0,1/D,28.6,1.9404940714620362,16/30,0.651
100,0.2,roulette,one_point,1.0,1/D,28.566666666666666,2.269487764374084,17/30,0.6594
100,0.1,roulette,uniform,1.0,1/D,28.5,2.063642577980783,17/30,0.688
20,0.2,roulette,uniform,1.0,0.005,28.466666666666665,2.6357402066177937,20/30,0.6853
100,0.1,roulette,uniform,0.8,0.01,28.466666666666665,1.9953970019528193,17/30,0.6646
50,0.2,roulette,uniform,1.0,0.005,28.433333333333334,3.2236553821692087,19/30,0.7167
20,0.1,roulette,uniform,0.8,0.005,28.366666666666667,3.566929843120989,22/30,0.6788
100,0.1,roulette,uniform,0.8,1/D,28.366666666666667,2.042367343994731,14/30,0.6699
100,0.1,rank,uniform,0.8,1/D,28.366666666666667,1.938419785383913,15/30,0.6659
20,0.1,roulette,one_point,0.8,0.01,28.366666666666667,3.388452330401343,18/30,0.6599
50,0.1,roulette,uniform,1.0,0.005,28.333333333333332,2.5234532077995864,16/30,0.707
20,0.2,roulette,uniform,0.8,0.005,28.3,2.8545184991639068,19/30,0.6603
50,0.1,rank,two_point,0.8,0.01,28.3,2.743644693996756,20/30,0.6435
10,0.1,rank,uniform,1.0,0.005,28.266666666666666,2.9703515794846793,20/30,0.6296
50,0.2,rank,uniform,0.8,0.005,28.166666666666668,2.9253155837221763,20/30,0.6782
50,0.1,rank,one_point,1.0,0.01,28.166666666666668,3.384379261918756,19/30,0.6366
50,0.2,rank,one_point,1.0,0.01,28.1,2.9402087657523395,18/30,0.6446
50,0.2,rank,one_point,0.8,0.01,28.1,3.0889123183322686,20/30,0.6371
100,0.2,rank,two_point,1.0,1/D,28.066666666666666,2.803118132431778,16/30,0.644
100,0.1,rank,one_point,1.0,1/D,28.033333333333335,2.579539297724643,14/30,0.6224
50,0.2,roulette,uniform,0.8,0.005,28.0,3.0850026546682816,18/30,0.6826
50,0.2,roulette,one_point,1.0,0.01,28.0,2.626128657194451,15/30,0.6246
100,0.2,roulette,uniform,1.0,0.005,27.966666666666665,2.9767296720108605,17/30,0.6745
20,0.2,rank,uniform,0.8,0.005,27.9,3.6041164204855805,19/30,0.6362
100,0.2,roulette,two_point,0.8,1/D,27.866666666666667,2.255007199825395,13/30,0.6626
50,0.1,rank,uniform,0.8,0.005,27.833333333333332,3.59197701142069,16/30,0.6896
10,0.1,rank,uniform,0.8,0.005,27.833333333333332,3.4148088585204714,18/30,0.6133
10,0.2,rank,uniform,1.0,0.005,27.8,4.0462839486501005,17/30,0.6061
100,0.1,rank,one_point,0.8,1/D,27.766666666666666,2.445027795249009,8/30,0.6175
100,0.1,roulette,two_point,1.0,1/D,27.666666666666668,2.682424705159601,12/30,0.6418
5,0.1,rank,uniform,0.8,0.005,27.666666666666668,4.520705875103513,20/30,0.5873
50,0.1,roulette,two_point,1.0,0.01,27.566666666666666,3.276702856408466,13/30,0.6344
5,0.1,rank,two_point,1.0,0.005,27.566666666666666,4.591471354087086,17/30,0.5655
100,0.2,rank,two_point,0.8,1/D,27.533333333333335,2.4876707473310127,12/30,0.6101
100,0.1,roulette,uniform,1.0,0.005,27.5,3.83045869225912,17/30,0.6807
5,0.1,rank,two_point,0.8,0.005,27.5,4.717904268809952,19/30,0.5713
20,0.2,rank,uniform,1.0,0.005,27.466666666666665,3.9717392466875467,15/30,0.6467
5,0.1,roulette,two_point,0.8,0.005,27.466666666666665,4.811862735833779,18/30,0.5636
100,0.1,rank,two_point,1.0,0.01,27.433333333333334,3.0363695805822215,14/30,0.6216
100,0.1,roulette,two_point,0.8,1/D,27.4,2.594423728452741,11/30,0.6338
50,0.1,rank,two_point,1.0,0.005,27.4,4.522739481088105,18/30,0.62
100,0.2,rank,one_point,1.0,1/D,27.4,2.7240942816232363,10/30,0.5971
20,0.2,rank,two_point,0.8,0.005,27.333333333333332,3.726265888428303,16/30,0.6169
100,0.2,roulette,two_point,1.0,1/D,27.3,2.7310475443783786,10/30,0.6406
5,0.1,rank,uniform,1.0,0.005,27.266666666666666,4.401671573808995,17/30,0.5815
50,0.2,roulette,two_point,1.0,0.01,27.2,3.487910153857079,13/30,0.6273
100,0.1,roulette,one_point,1.0,1/D,27.1,3.0552385763833056,8/30,0.6288
100,0.1,rank,two_point,0.8,1/D,27.1,2.49620401465077,8/30,0.6175
20,0.2,rank,two_point,1.0,0.005,27.1,3.8268560968772913,16/30,0.6111
5,0.1,roulette,two_point,1.0,0.005,27.1,5.005858636603232,17/30,0.557
100,0.2,roulette,uniform,0.8,0.005,27.033333333333335,2.965122935560768,11/30,0.6594
100,0.2,rank,one_point,0.8,1/D,27.033333333333335,3.1675437381878933,10/30,0.6116
100,0.2,roulette,uniform,0.8,0.01,27.0,3.332183709800837,11/30,0.6537
10,0.1,roulette,uniform,0.8,0.005,26.966666666666665,4.319030329658006,15/30,0.5897
10,0.2,rank,two_point,0.8,0.005,26.966666666666665,4.612451912343169,16/30,0.5764
10,0.1,roulette,uniform,1.0,0.005,26.933333333333334,4.926587497225244,17/30,0.61
10,0.1,rank,one_point,0.8,0.005,26.933333333333334,3.885723944738309,13/30,0.5365
20,0.1,rank,one_point,1.0,0.005,26.866666666666667,3.954337063174484,14/30,0.5838
100,0.2,rank,uniform,0.8,0.005,26.833333333333332,4.144654499417319,14/30,0.6475
20,0.1,rank,one_point,0.8,0.005,26.7,4.997585623975393,17/30,0.5927
50,0.1,roulette,two_point,0.8,0.01,26.666666666666668,3.8714991601608846,14/30,0.6382
10,0.2,rank,uniform,0.8,0.005,26.6,5.000689607616547,14/30,0.583
10,0.2,rank,two_point,1.0,0.005,26.6,5.035049566581349,15/30,0.5787
50,0.2,roulette,one_point,0.8,0.01,26.6,3.420022181819576,10/30,0.575
20,0.2,roulette,two_point,1.0,0.005,26.533333333333335,4.485481047767904,13/30,0.6032
100,0.2,roulette,one_point,0.8,1/D,26.433333333333334,3.2021903423290987,9/30,0.6031
10,0.1,rank,one_point,1.0,0.005,26.433333333333334,4.256300265961388,11/30,0.5339
50,0.1,roulette,one_point,1.0,0.01,26.4,4.09035872299223,14/30,0.6208
