pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
10,0.2,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.987
20,0.2,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.9864
5,0.1,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.9863
10,0.2,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.9862
5,0.1,rank,two_point,1.0,0.01,100.0,0.0,30/30,0.9855
5,0.1,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.9855
10,0.1,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.9854
20,0.2,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.9854
5,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.985
10,0.2,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.9849
20,0.1,rank,uniform,1.0,0.01,100.0,0.0,30/30,0.9848
5,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9847
20,0.1,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.9847
20,0.2,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.9845
5,0.1,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.984
10,0.1,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.984
5,0.1,rank,two_point,0.8,0.01,100.0,0.0,30/30,0.9839
10,0.2,rank,two_point,1.0,0.01,100.0,0.0,30/30,0.9838
10,0.2,rank,uniform,0.8,0.005,100.0,0.0,30/30,0.9836
10,0.2,rank,two_point,0.8,0.01,100.0,0.0,30/30,0.9835
10,0.1,rank,uniform,1.0,0.005,100.0,0.0,30/30,0.9835
5,0.1,rank,uniform,0.8,0.005,100.0,0.0,30/30,0.9832
10,0.2,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.9832
5,0.1,rank,two_point,1.0,0.005,100.0,0.0,30/30,0.9831
20,0.2,rank,uniform,0.8,0.005,100.0,0.0,30/30,0.9831
20,0.1,rank,uniform,0.8,0.01,100.0,0.0,30/30,0.9829
10,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9827
5,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9826
